iter	RMSE
374	28955.58851
375	28939.82599
376	28939.35397
377	28930.01563
378	28889.08856
379	28873.37497
380	28849.02725
381	28804.45743
382	28794.85692
383	28778.74995
384	28719.71272
385	28708.91706
386	28703.82589
387	28669.54642
388	28650.81581
389	28650.3763
390	28629.68279
391	28620.94013
392	28592.71162
393	28566.01648
394	28549.44875
395	28527.33743
396	28476.33826
397	28469.34887
398	28426.05168
399	28416.66492
400	28395.97648
401	28364.59885
402	28320.3708
403	28315.44598
404	28308.08745
405	28283.37603
406	28265.75219
407	28241.74997
408	28209.21408
409	28174.16613
410	28170.03119
411	28087.40776
412	28077.94722
413	28069.25062
414	28009.91183
415	28000.92906
416	27946.8534
417	27920.748
418	27870.78087
419	27855.6474
420	27844.41174
421	27832.40145
422	27831.89927
423	27803.90394
424	27803.09302
425	27792.55749
426	27760.39265
427	27743.18081
428	27735.78267
429	27701.83974
430	27676.03865
431	27660.50295
432	27617.77797
433	27615.4114
434	27605.59249
435	27592.65568
436	27566.84576
437	27548.14527
438	27519.50523
439	27501.89409
440	27468.87568
441	27452.53335
442	27440.91485
443	27428.06419
444	27399.81673
445	27378.56042
446	27352.89039
447	27333.22277
448	27321.9166
449	27275.79952
450	27235.57019
451	27230.98141
452	27178.33826
453	27125.06108
454	27105.4319
455	27086.10948
456	27014.03849
457	26948.85935
458	26906.61749
459	26883.98809
460	26880.49407
461	26817.64923
462	26810.5697
463	26777.81536
464	26769.83393
465	26758.01859
466	26742.84802
467	26736.70456
468	26685.86657
469	26645.02813
470	26607.36561
471	26585.16694
472	26545.34587
473	26492.47148
474	26464.94362
475	26429.79281
476	26423.90025
477	26408.9005
478	26407.95797
479	26372.46432
480	26356.52964
481	26338.11284
482	26335.63051
483	26267.97614
484	26265.0273
485	26241.68121
486	26227.95542
487	26221.99741
488	26170.10438
489	26112.29969
490	26105.46579
491	26083.0826
492	26021.85164
493	26006.20318
494	25991.05458
495	25917.74082
496	25909.03606
497	25860.27851
498	25839.49721
499	25825.94276
500	25801.00336
501	25792.13377
502	25763.32334
503	25737.80785
504	25682.33063
505	25681.4136
506	25662.7556
507	25642.52466
508	25624.60067
509	25584.45853
510	25574.41922
511	25559.94822
512	25519.15325
513	25476.50781
514	25475.2907
515	25475.07577
516	25441.36005
517	25409.47252
518	25392.53461
519	25391.11438
520	25340.53563
521	25339.60772
522	25302.90188
523	25283.26497
524	25237.27097
525	25236.21071
526	25235.42974
527	25209.86346
528	25209.10069
529	25201.45443
530	25199.34248
531	25192.18121
532	25154.04192
533	25107.73016
534	25095.00554
535	25085.95909
536	25053.63236
537	25046.66963
538	25040.01187
539	25012.40447
540	25003.74001
541	25003.16035
542	24999.99681
543	24970.57862
544	24966.81056
545	24964.44893
546	24943.57012
547	24943.03739
548	24939.9428
549	24870.44585
550	24847.97581
551	24822.27925
552	24821.36381
553	24804.88737
554	24797.54199
555	24783.43631
556	24775.46564
557	24773.68594
558	24745.96276
559	24689.88176
560	24664.94171
561	24624.52621
562	24604.16738
563	24560.31948
564	24536.11621
565	24516.24291
566	24487.50367
567	24444.27
568	24420.75082
569	24413.11596
570	24380.44732
571	24363.32979
572	24351.73078
573	24332.0133
574	24316.02391
575	24304.1802
576	24263.92412
577	24260.25926
578	24227.27742
579	24203.09857
580	24180.72328
581	24154.85841
582	24112.64073
583	24078.19033
584	24058.35883
585	24046.77172
586	24033.77378
587	24018.90199
588	23983.03622
589	23970.4569
590	23958.77916
591	23950.6809
592	23934.96299
593	23928.15965
594	23914.40694
595	23882.02309
596	23867.8079
597	23844.09326
598	23825.97069
599	23776.16171
600	23727.22252
601	23692.35711
602	23673.53766
603	23669.49575
604	23660.69019
605	23649.39978
606	23598.84158
607	23591.38212
608	23581.79753
609	23562.93361
610	23537.77888
611	23490.71964
612	23462.11315
613	23424.84182
614	23409.68051
615	23389.40958
616	23329.22578
617	23318.2685
618	23307.95818
619	23300.94815
620	23277.62539
621	23256.96806
622	23224.58067
623	23195.09025
624	23179.12114
625	23148.95088
626	23104.31303
627	23088.79146
628	23081.76386
629	23053.02692
630	23048.56554
631	23013.20427
632	22994.96403
633	22967.42687
634	22950.14411
635	22941.74159
636	22933.30078
637	22928.90892
638	22870.85712
639	22839.9984
640	22796.52238
641	22786.92981
642	22761.84977
643	22750.9145
644	22711.12533
645	22685.60126
646	22676.27849
647	22641.79567
648	22620.78682
649	22598.67867
650	22563.35253
651	22533.09302
652	22525.66218
653	22481.16959
654	22440.00292
655	22422.58047
656	22393.68054
657	22384.50907
658	22357.08611
659	22353.17675
660	22349.59812
661	22330.90672
662	22290.69745
663	22279.13126
664	22259.4539
665	22238.76089
666	22213.37518
667	22175.42922
668	22170.90029
669	22163.81671
670	22105.24528
671	22100.80537
672	22088.45496
673	22073.86554
674	22065.31655
675	22024.53469
676	22007.03737
677	21975.72469
678	21971.69411
679	21956.67153
680	21932.39649
681	21911.07232
682	21902.12349
683	21877.47075
684	21866.02663
685	21835.5851
686	21825.29944
687	21813.35168
688	21807.63612
689	21791.76889
690	21785.65276
691	21768.64876
692	21753.24149
693	21742.60437
694	21715.06057
695	21709.72327
696	21709.36995
697	21680.04443
698	21674.12324
699	21652.1847
700	21625.95792
701	21592.5654
702	21581.24693
703	21554.60182
704	21550.97528
705	21517.23631
706	21513.5832
707	21490.28097
708	21489.31889
709	21478.59818
710	21460.85354
711	21459.5508
712	21430.18173
713	21429.59023
714	21399.94182
715	21399.74625
716	21385.0699
717	21372.14817
718	21355.93281
719	21343.84746
720	21342.11738
721	21333.13473
722	21313.25615
723	21309.42039
724	21307.42909
725	21288.77444
726	21284.20665
727	21239.14729
728	21205.47682
729	21203.42097
730	21192.84912
731	21188.08552
732	21175.7161
733	21159.23557
734	21142.13288
735	21128.92834
736	21098.52627
737	21084.83693
738	21063.32819
739	21056.76273
740	21056.63117
741	21038.81383
742	21032.40891
743	21016.21642
744	21000.21548
745	20973.80457
746	20950.33413
747	20927.1842
748	20914.19294
749	20897.56294
750	20891.16623
751	20884.01206
752	20875.62734
753	20869.6377
754	20867.26895
755	20858.25986
756	20852.7519
757	20845.67396
758	20835.78379
759	20803.30381
760	20792.29853
761	20792.04033
762	20747.15409
763	20735.10522
764	20713.91616
765	20686.42847
766	20681.29725
767	20676.49745
768	20669.59489
769	20641.52148
770	20631.11743
771	20610.22131
772	20569.06663
773	20517.55077
774	20513.88739
775	20498.26754
776	20473.13232
777	20462.85831
778	20457.94083
779	20438.23586
780	20418.43421
781	20379.16915
782	20346.70026
783	20330.03024
784	20326.73038
785	20290.42639
786	20285.18026
787	20281.12685
788	20258.14728
789	20251.6881
790	20247.74457
791	20247.22793
792	20235.84003
793	20186.40586
794	20171.26886
795	20158.75299
796	20153.59616
797	20152.63763
798	20132.91536
799	20128.23442
800	20099.06466
801	20069.35648
802	20059.61736
803	20023.64893
804	20003.46045
805	20001.03602
806	19996.56652
807	19974.2325
808	19950.45062
809	19922.27469
810	19884.96509
811	19879.17839
812	19871.84124
813	19843.5399
814	19813.05794
815	19797.64114
816	19787.6054
817	19748.64921
818	19726.43351
819	19723.05171
820	19702.24808
821	19676.00824
822	19663.22755
823	19657.73276
824	19656.46653
825	19623.86833
826	19615.77285
827	19611.48555
828	19580.95155
829	19566.29675
830	19550.74693
831	19541.36243
832	19515.50275
833	19498.41006
834	19479.807
835	19467.96091
836	19463.2528
837	19455.49913
838	19450.46584
839	19421.5681
840	19413.26135
841	19406.016
842	19402.30723
843	19397.04669
844	19389.87275
845	19378.69455
846	19363.38622
847	19342.05647
848	19330.16178
849	19322.56706
850	19306.2013
851	19287.79507
852	19260.10566
853	19247.51198
854	19243.21043
855	19238.96421
856	19226.90119
857	19217.00419
858	19216.43702
859	19216.35209
860	19186.58216
861	19154.61458
862	19150.77696
863	19121.74614
864	19090.04826
865	19066.51916
866	19016.81101
867	19014.62232
868	19007.01794
869	18991.45571
870	18983.99838
871	18969.77652
872	18946.45766
873	18925.33631
874	18906.5784
875	18892.88334
876	18889.98534
877	18847.37323
878	18826.72674
879	18815.58391
880	18787.00475
881	18773.76754
882	18756.86562
883	18750.22243
884	18733.16721
885	18726.78905
886	18709.86866
887	18708.49567
888	18691.83584
889	18687.77633
890	18664.55707
891	18636.1665
892	18624.59549
893	18613.19543
894	18602.16309
895	18586.93661
896	18586.34485
897	18568.13236
898	18563.06892
899	18553.32855
900	18540.98094
901	18521.84213
902	18497.92044
903	18483.50106
904	18476.76873
905	18461.97655
906	18429.35723
907	18404.88616
908	18402.91818
909	18388.83704
910	18382.24373
911	18373.66112
912	18344.52504
913	18320.67616
914	18294.07223
915	18268.49309
916	18248.22564
917	18241.97267
918	18218.02309
919	18210.7712
920	18202.24653
921	18179.90238
922	18175.63173
923	18169.26053
924	18162.03959
925	18150.94532
926	18145.51661
927	18136.73905
928	18131.73914
929	18121.25102
930	18118.83179
931	18104.48192
932	18085.83334
933	18075.32153
934	18070.07135
935	18069.96156
936	18061.90725
937	18032.12314
938	18025.30335
939	18021.8865
940	18001.37827
941	17979.10373
942	17970.6385
943	17957.02266
944	17954.54419
945	17937.4679
946	17921.04278
947	17901.43862
948	17891.37591
949	17887.49626
950	17883.43112
951	17849.95257
952	17846.35809
953	17839.51542
954	17811.56517
955	17798.05096
956	17777.19005
957	17759.08639
958	17738.99833
959	17729.15909
960	17709.51379
961	17697.34625
962	17686.92066
963	17686.7689
964	17668.48115
965	17662.70095
966	17649.08654
967	17634.46918
968	17625.25367
969	17606.2209
970	17592.22738
971	17577.71868
972	17567.81446
973	17556.92684
974	17530.29208
975	17522.62074
976	17501.99215
977	17493.02465
978	17465.85057
979	17442.18938
980	17436.19896
981	17418.15533
982	17402.43045
983	17397.20135
984	17383.47831
985	17373.41247
986	17359.63882
987	17337.17002
988	17314.63666
989	17299.03092
990	17282.75168
991	17268.22694
992	17267.33765
993	17262.85047
994	17256.26935
995	17244.72936
996	17233.78483
997	17229.24176
998	17220.97476
999	17209.9009
