iter	Passed	Remaining
408	3990	5766
409	3993	5746
410	3996	5727
411	3999	5707
412	4001	5687
413	4007	5672
414	4010	5653
415	4014	5636
416	4020	5620
417	4023	5601
418	4026	5583
419	4033	5570
420	4041	5557
421	4045	5540
422	4053	5529
423	4064	5521
424	4069	5505
425	4074	5489
426	4077	5471
427	4084	5458
428	4087	5440
429	4089	5421
430	4092	5403
431	4095	5384
432	4098	5366
433	4102	5349
434	4104	5330
435	4108	5315
436	4114	5300
437	4120	5286
438	4136	5286
439	4144	5274
440	4151	5262
441	4159	5250
442	4170	5243
443	4186	5242
444	4193	5230
445	4201	5218
446	4208	5207
447	4216	5195
448	4218	5177
449	4221	5159
450	4224	5142
451	4230	5128
452	4243	5123
453	4251	5113
454	4261	5104
455	4267	5090
456	4278	5083
457	4285	5071
458	4288	5055
459	4299	5047
460	4304	5033
461	4309	5018
462	4312	5001
463	4317	4988
464	4324	4975
465	4333	4966
466	4345	4959
467	4354	4949
468	4363	4940
469	4373	4932
470	4383	4922
471	4389	4910
472	4392	4894
473	4399	4882
474	4403	4866
475	4410	4855
476	4421	4848
477	4437	4846
478	4447	4836
479	4463	4835
480	4473	4826
481	4486	4821
482	4504	4821
483	4516	4815
484	4522	4802
485	4525	4785
486	4528	4769
487	4545	4768
488	4564	4770
489	4572	4759
490	4578	4745
491	4588	4737
492	4597	4727
493	4605	4717
494	4614	4708
495	4618	4693
496	4623	4678
497	4631	4668
498	4640	4659
499	4654	4654
500	4663	4644
501	4671	4634
502	4677	4621
503	4684	4610
504	4690	4598
505	4698	4586
506	4709	4579
507	4721	4572
508	4729	4562
509	4740	4554
510	4749	4544
511	4761	4538
512	4770	4528
513	4780	4520
514	4792	4513
515	4807	4508
516	4813	4497
517	4842	4505
518	4849	4494
519	4865	4490
520	4886	4492
521	4903	4490
522	4908	4477
523	4915	4465
524	4925	4456
525	4931	4444
526	4954	4446
527	4957	4431
528	4966	4421
529	4978	4414
530	4991	4408
531	5014	4411
532	5029	4406
533	5038	4396
534	5051	4390
535	5060	4380
536	5064	4366
537	5068	4352
538	5072	4338
539	5081	4328
540	5091	4320
541	5094	4304
542	5097	4289
543	5102	4276
544	5107	4264
545	5111	4249
546	5115	4236
547	5119	4222
548	5123	4208
549	5130	4197
550	5142	4190
551	5153	4182
552	5159	4170
553	5167	4160
554	5170	4145
555	5174	4131
556	5176	4116
557	5181	4104
558	5187	4092
559	5191	4078
560	5196	4066
561	5201	4053
562	5207	4041
563	5214	4031
564	5220	4019
565	5224	4006
566	5230	3994
567	5235	3981
568	5239	3968
569	5244	3956
570	5248	3943
571	5250	3928
572	5256	3917
573	5260	3903
574	5265	3891
575	5267	3877
576	5274	3866
577	5287	3860
578	5292	3848
579	5300	3838
580	5311	3830
581	5317	3819
582	5328	3811
583	5341	3805
584	5348	3793
585	5351	3781
586	5361	3772
587	5369	3762
588	5375	3750
589	5377	3736
590	5380	3723
591	5382	3709
592	5385	3696
593	5392	3685
594	5396	3673
595	5399	3659
596	5402	3646
597	5407	3635
598	5417	3626
599	5428	3619
600	5436	3609
601	5446	3600
602	5453	3590
603	5455	3576
604	5466	3568
605	5471	3557
606	5477	3546
607	5487	3537
608	5492	3526
609	5503	3518
610	5509	3507
611	5513	3495
612	5517	3483
613	5519	3470
614	5522	3456
615	5528	3446
616	5535	3436
617	5548	3429
618	5557	3420
619	5568	3412
620	5583	3407
621	5590	3397
622	5595	3385
623	5605	3377
624	5618	3371
625	5630	3363
626	5646	3359
627	5662	3354
628	5671	3344
629	5686	3339
630	5695	3330
631	5698	3318
632	5709	3310
633	5718	3301
634	5727	3292
635	5743	3286
636	5760	3282
637	5779	3279
638	5798	3275
639	5808	3267
640	5818	3258
641	5823	3247
642	5827	3235
643	5832	3223
644	5849	3219
645	5855	3208
646	5867	3201
647	5871	3189
648	5881	3181
649	5899	3176
650	5906	3166
651	5912	3155
652	5921	3146
653	5927	3136
654	5934	3125
655	5939	3114
656	5942	3102
657	5946	3090
658	5949	3078
659	5955	3067
660	5958	3056
661	5962	3044
662	5968	3033
663	5975	3023
664	5982	3013
665	5986	3002
666	5989	2990
667	5994	2979
668	5997	2967
669	6000	2955
670	6006	2945
671	6008	2932
672	6012	2921
673	6015	2909
674	6019	2898
675	6021	2886
676	6025	2874
677	6036	2866
678	6043	2857
679	6054	2849
680	6064	2840
681	6076	2833
682	6088	2825
683	6095	2816
684	6099	2804
685	6101	2792
686	6103	2780
687	6110	2771
688	6122	2763
689	6133	2755
690	6139	2745
691	6142	2734
692	6146	2722
693	6152	2712
694	6164	2705
695	6175	2697
696	6187	2689
697	6193	2679
698	6197	2668
699	6205	2659
700	6216	2651
701	6224	2642
702	6230	2632
703	6234	2621
704	6238	2610
705	6251	2603
706	6255	2592
707	6260	2581
708	6264	2571
709	6272	2562
710	6285	2554
711	6294	2546
712	6302	2536
713	6311	2528
714	6318	2518
715	6327	2509
716	6336	2501
717	6348	2493
718	6353	2483
719	6358	2472
720	6366	2463
721	6368	2452
722	6371	2441
723	6373	2429
724	6376	2418
725	6379	2407
726	6381	2396
727	6386	2386
728	6393	2376
729	6401	2367
730	6405	2357
731	6426	2352
732	6440	2345
733	6450	2337
734	6461	2329
735	6472	2321
736	6478	2311
737	6484	2302
738	6488	2291
739	6500	2283
740	6505	2273
741	6509	2263
742	6517	2254
743	6528	2246
744	6531	2235
745	6540	2227
746	6552	2219
747	6560	2210
748	6570	2201
749	6574	2191
750	6579	2181
751	6584	2171
752	6589	2161
753	6591	2150
754	6594	2140
755	6597	2129
756	6602	2119
757	6605	2108
758	6612	2099
759	6619	2090
760	6632	2082
761	6644	2075
762	6652	2066
763	6658	2056
764	6660	2046
765	6662	2035
766	6664	2024
767	6667	2014
768	6669	2003
769	6672	1993
770	6677	1983
771	6684	1974
772	6702	1968
773	6719	1962
774	6738	1956
775	6748	1947
776	6755	1938
777	6762	1929
778	6772	1921
779	6782	1912
780	6795	1905
781	6809	1898
782	6817	1889
783	6830	1881
784	6842	1874
785	6854	1866
786	6858	1856
787	6862	1846
788	6867	1836
789	6869	1825
790	6872	1815
791	6878	1806
792	6880	1795
793	6887	1786
794	6896	1778
795	6903	1769
796	6910	1760
797	6913	1750
798	6921	1741
799	6924	1731
800	6929	1721
801	6936	1712
802	6938	1702
803	6940	1691
804	6941	1681
805	6945	1671
806	6948	1661
807	6950	1651
808	6955	1642
809	6966	1634
810	6970	1624
811	6973	1614
812	6977	1604
813	6985	1596
814	6988	1586
815	6993	1577
816	7000	1568
817	7013	1560
818	7021	1551
819	7028	1542
820	7042	1535
821	7045	1525
822	7053	1516
823	7055	1506
824	7066	1498
825	7073	1490
826	7077	1480
827	7079	1470
828	7083	1461
829	7086	1451
830	7088	1441
831	7091	1431
832	7093	1422
833	7095	1412
834	7099	1402
835	7102	1393
836	7106	1383
837	7115	1375
838	7131	1368
839	7138	1359
840	7142	1350
841	7146	1341
842	7149	1331
843	7153	1322
844	7155	1312
845	7158	1303
846	7161	1293
847	7164	1284
848	7170	1275
849	7183	1267
850	7187	1258
851	7196	1250
852	7208	1242
853	7218	1234
854	7227	1225
855	7231	1216
856	7233	1207
857	7236	1197
858	7238	1188
859	7242	1178
860	7244	1169
861	7249	1160
862	7252	1151
863	7264	1143
864	7272	1135
865	7287	1127
866	7301	1120
867	7315	1112
868	7328	1104
869	7338	1096
870	7350	1088
871	7354	1079
872	7360	1070
873	7368	1062
874	7371	1053
875	7378	1044
876	7384	1035
877	7390	1026
878	7396	1018
879	7405	1009
880	7414	1001
881	7421	992
882	7428	984
883	7435	975
884	7436	966
885	7438	957
886	7440	947
887	7442	938
888	7445	929
889	7447	920
890	7450	911
891	7453	902
892	7458	893
893	7460	884
894	7463	875
895	7467	866
896	7474	858
897	7480	849
898	7485	840
899	7493	832
900	7500	824
901	7506	815
902	7512	806
903	7520	798
904	7527	790
905	7540	782
906	7556	774
907	7569	766
908	7579	758
909	7586	750
910	7589	741
911	7601	733
912	7611	725
913	7617	716
914	7633	709
915	7646	701
916	7658	693
